word,synset
abandon,vacate.v.02
abandoned,abandoned.s.01
abatement,suspension.n.04
abide,bide.v.01
abide,digest.v.03
ability,ability.n.02
able,able.s.02
abnormal,abnormal.a.01
aboard,aboard.r.03
abode,dwelling.n.01
abode,residence.n.01
aboriginal,aboriginal.s.03
aboriginal,native.n.01
abortion,miscarriage.n.01
abound,abound.v.02
about,approximately.r.01
about,about.r.07
above,above.r.01
abrasion,abrasion.n.02
abrasion,grinding.n.03
abrasion,abrasion.n.01
abrasive,harsh.s.06
abroad,abroad.s.01
abrupt,abrupt.s.01
abrupt,abrupt.s.03
abruptly,abruptly.r.01
absent,absent.v.01
absent,lacking.s.02
absolute,absolute.s.02
absolutely,absolutely.r.01
absorb,absorb.v.09
absorb,steep.v.01
absorb,absorb.v.04
absorbed,captive.s.02
absorbing,absorbing.s.01
absurd,absurd.s.02
academic,academic.s.03
accelerate,accelerate.v.01
accelerate,accelerate.v.02
accelerator,accelerator.n.01
accelerator,accelerator.n.02
accented,tonic.a.03
accented,stressed.a.02
access,entree.n.02
access,access.n.03
accession,entree.n.02
accession,accession.n.03
accessory,accessory.s.02
accident,accident.n.02
acclaim,acclaim.v.01
acclaim,applaud.v.01
accommodate,accommodate.v.07
accommodate,lodge.v.04
accommodate,accommodate.v.04
accommodate,suit.v.01
accommodate,adapt.v.01
accommodation,adjustment.n.01
accompanied,accompanied.a.02
accompany,play_along.v.02
accompany,company.v.01
accompanying,attendant.s.02
accomplish,achieve.v.01
accomplish,carry_through.v.01
accomplished,accomplished.s.01
accomplishment,accomplishment.n.01
accomplishment,skill.n.01
accord,agreement.n.03
accord,accord.n.02
accord,treaty.n.01
accord,harmonize.v.01
accord,accord.v.02
accordance,accord.n.02
account,account.v.02
account,report.v.01
account,score.n.05
account,explanation.n.01
account,report.n.03
account,history.n.02
account,bill.n.02
accountant,accountant.n.01
accredited,accredited.s.01
accretion,accretion.n.01
accrual,accumulation.n.03
accrued,accrued.s.01
accumulate,accumulate.v.02
accumulate,roll_up.v.02
accumulated,accrued.s.01
accumulation,accumulation.n.03
accumulation,collection.n.01
accumulation,accretion.n.01
accuracy,accuracy.n.01
accurate,accurate.s.02
accuse,accuse.v.01
accuse,charge.v.02
accustomed,accustomed.s.02
ace,breeze_through.v.01
ace,ace.n.03
ace,ace.s.01
ace,one.n.01
ache,ache.n.01
ache,hurt.v.06
ache,ache.v.03
ache,ache.v.02
achievable,accomplishable.s.01
achieve,achieve.v.01
achievement,accomplishment.n.01
aching,ache.n.01
acid,acid.n.02
acid,acerb.s.02
acid,acidic.s.02
acidic,acidic.s.02
acme,vertex.n.02
acme,acme.n.01
acoustic,acoustic.a.01
acoustical,acoustic.a.01
acquaintance,acquaintance.n.03
acquaintance,acquaintance.n.01
acquire,assume.v.03
acquire,learn.v.01
acquire,develop.v.03
acquire,grow.v.08
acquire,acquire.v.05
acquisition,learning.n.01
acquisition,skill.n.01
acres,estate.n.02
act,act.v.02
act,act.v.01
act,act.v.03
act,act.n.02
act,dissemble.v.03
act,act.n.04
act,work.v.03
acting,acting.n.01
action,carry_through.v.01
action,action.v.01
activate,trip.v.04
activating,energizing.n.01
activation,energizing.n.01
active,active.a.11
active,active.s.02
active,active.s.08
active,active.s.04
actor,actor.n.02
actor,actor.n.01
actuate,trip.v.04
actuate,motivate.v.01
acuity,acuteness.n.02
acute,acute.s.02
acute,acute.s.03
acute,acuate.s.01
acutely,sharply.r.03
ad,ad.n.01
adamant,diamond.n.02
adapt,adjust.v.03
adapt,adapt.v.01
adaptation,adaptation.n.01
adaptation,adaptation.n.02
adapter,adapter.n.02
adapter,arranger.n.02
adaptor,adapter.n.02
add,add.v.02
add,lend.v.01
add,total.v.02
addiction,addiction.n.01
addition,addition.n.03
addition,accession.n.03
addition,summation.n.04
adept,ace.n.03
adept,adept.s.01
adequacy,sufficiency.n.03
adhere,adhere.v.04
adhere,cling.v.01
adhere,adhere.v.06
adherence,adhesiveness.n.01
adherence,attachment.n.05
adhesion,attachment.n.05
adhesion,adhesiveness.n.01
adjacent,adjacent.s.02
adjective,adjective.a.02
adjournment,adjournment.n.01
adjunct,accessory.s.02
adjunct,adjunct.s.02
adjust,align.v.01
adjust,adjust.v.01
adjust,adjust.v.03
adjustment,alteration.n.02
adjustment,adaptation.n.02
adjustment,allowance.n.03
adjustment,adjustment.n.01
adjustment,adjustment.n.03
administer,administer.v.04
administer,distribute.v.01
administration,administration.n.02
administration,government.n.02
administration,administration.n.01
administration,presidency.n.01
administrator,administrator.n.03
admiration,admiration.n.03
admiration,wonder.n.01
admiration,admiration.n.01
admit,accommodate.v.04
admit,admit.v.03
admit,accept.v.05
admit,admit.v.05
admittedly,true.r.01
ado,bustle.n.01
adopt,adopt.v.02
adopt,assume.v.02
adopt,adopt.v.01
adopt,assume.v.03
adopted,adopted.a.01
adoption,borrowing.n.01
adoptive,adopted.a.01
adorable,adorable.s.01
adored,adored.s.01
advance,progress.n.03
advance,advance.n.06
advance,promote.v.01
advance,improvement.n.01
advance,boost.v.04
advance,promote.v.02
advance,advance.s.02
advance,progress.n.02
advance,gain.v.05
advance,advance.s.01
advance,advance.v.12
advance,overture.n.03
advanced,advanced.s.03
advanced,advance.s.02
advanced,advanced.s.06
advancement,progress.n.02
advancing,advancing.s.01
advent,advent.n.01
adversary,adversary.n.01
advertise,advertise.v.02
advertise,advertise.v.01
advertising,ad.n.01
adviser,adviser.n.01
aegis,auspices.n.01
aerial,antenna.n.01
aerial,aeriform.s.02
aerodynamic,streamlined.s.02
aesthetic,aesthetic.s.03
affair,affair.n.02
affair,matter.n.01
affair,affair.n.03
affect,involve.v.01
affect,feign.v.01
affect,affect.v.01
affect,affect.v.05
affecting,affecting.s.01
affection,affection.n.01
affiliation,affiliation.n.01
affirm,confirm.v.01
affirm,affirm.v.02
affirmation,affirmation.n.02
affirmative,affirmative.s.02
affirmative,approving.s.01
affluent,affluent.s.01
affluent,feeder.n.03
afford,afford.v.04
afford,yield.v.01
afloat,afloat.s.03
aforementioned,aforesaid.s.01
aforesaid,aforesaid.s.01
after,subsequently.r.01
afterlife,afterlife.n.01
aftermath,aftermath.n.01
aftermath,consequence.n.02
afterward,subsequently.r.01
afterwards,subsequently.r.01
agency,agency.n.01
agency,means.n.01
agency,representation.n.04
agenda,agenda.n.01
agent,agent.n.04
